Year,Chamber,Geography,Democrat,Republican,WAR,Sortable
2024,House,VA-09,Karen Baker,Morgan Griffith,D+1.4,-1.4
2024,House,VA-10,Suhas Subramanyam,Mike Clancy,R+5.1,5.1
2024,House,VA-11,Gerry Connolly,Michael Von Meter,R+4.4,4.4
2024,House,WA-01,Suzan DelBene,Jeb Brewer,R+4.9,4.9
2024,House,WA-02,Rick Larsen,Cody Hart,D+2.2,-2.2
2024,House,WA-03,Marie Gluesenkamp Perez,Joe Kent,D+6,-6
2024,House,WA-05,Carmela Conroy,Michael Baumgartner,R+8.9,8.9
2024,House,WA-06,Emily Randall,Drew MacEwen,R+3.9,3.9
2024,House,WA-07,Pramila Jayapal,Dan Alexander,R+9.1,9.1
2024,House,WA-08,Kim Schrier,Carmen Goers,D+0.7,-0.7
2024,House,WA-10,Marilyn Strickland,Don Hewett,R+3.1,3.1
2024,House,WV-01,Chris Reed,Carol Miller,D+3.2,-3.2
2024,House,WV-02,Steve Wendelin,Riley Moore,R+2.2,2.2
2024,House,WI-01,Peter Barca,Bryan Steil,R+1.8,1.8
2024,House,WI-02,Mark Pocan,Erik Olsen,R+0.8,0.8
2024,House,WI-03,Rebecca Cooke,Derrick Van Orden,D+7.3,-7.3
2024,House,WI-04,Gwen Moore,Tim Rogers,D+1,-1
2024,House,WI-05,Ben Steinhoff,Scott Fitzgerald,R+1,1
2024,House,WI-06,John Zarbano,Glenn Grothman,R+2.5,2.5
2024,House,WI-07,Kyle Kilbourn,Tom Tiffany,R+2.2,2.2
2024,House,WI-08,Kristin Lyerly,Tony Wied,D+2.8,-2.8
2024,House,WY-AL,Kyle Cameron,Harriet Hageman,D+0.8,-0.8
2024,Senate,Arizona,Ruben Gallego,Kari Lake,D+7.2,-7.2
2024,Senate,California,Adam Schiff,Steve Garvey,R+4.1,4.1
2024,Senate,Connecticut,Chris Murphy,Matthew Corey,R+0.1,0.1
2024,Senate,Delaware,Lisa Blunt Rochester,Eric Hansen,D+1.4,-1.4
2024,Senate,Florida,Debbie Mucarsel-Powell,Rick Scott,D+1.6,-1.6
2024,Senate,Hawaii,Mazie Hirono,Bob McDermott,D+7.4,-7.4
2024,Senate,Indiana,Valerie McCray,Jim Banks,R+0.7,0.7
2024,Senate,Maine,Angus King,Demitroula Kouzounas,D+9.8,-9.8
2024,Senate,Maryland,Angela Alsobrooks,Larry Hogan,R+17.3,17.3
2024,Senate,Massachusetts,Elizabeth Warren,John Deaton,R+10.8,10.8
2024,Senate,Michigan,Elissa Slotkin,Mike Rogers,D+1.3,-1.3
2024,Senate,Minnesota,Amy Klobuchar,Royce White,D+8.5,-8.5
2024,Senate,Mississippi,Ty Pickens,Roger Wicker,R+0.6,0.6
2024,Senate,Missouri,Lucas Kunce,Josh Hawley,D+7.5,-7.5
2024,Senate,Montana,Jon Tester,Tim Sheehy,D+10.1,-10.1
2024,Senate,Nebraska,Dan Osborn (I),Deb Fischer,D+17.7,-17.7
2024,Senate,Nebraska Special,Preston Love Jr.,Pete Ricketts,R+2.8,2.8
2024,Senate,Nevada,Jacky Rosen,Sam Brown,D+1,-1
2024,Senate,New Jersey,Andy Kim,Curtis Bashaw,D+2,-2
2024,Senate,New Mexico,Martin Heinrich,Nella Domenici,D+0.7,-0.7
2024,Senate,New York,Kirsten Gillibrand,Mike Sapraicone,D+0.5,-0.5
2024,Senate,North Dakota,Katrina Christiansen,Kevin Cramer,D+7.5,-7.5
2024,Senate,Ohio,Sherrod Brown,Bernie Moreno,D+4.6,-4.6
2024,Senate,Pennsylvania,Bob Casey,Dave McCormick,R+1,1
2024,Senate,Rhode Island,Sheldon Whitehouse,Patricia Morgan,D+1.1,-1.1
2024,Senate,Tennessee,Gloria Johnson,Marsha Blackburn,D+1.4,-1.4
2024,Senate,Texas,Colin Allred,Ted Cruz,D+6.6,-6.6
2024,Senate,Utah,Caroline Gleich,John Curtis,R+8.4,8.4
2024,Senate,Vermont,Bernie Sanders,Gerald Malloy,R+3.9,3.9
2024,Senate,Virginia,Tim Kaine,Hung Cao,D+0.4,-0.4
2024,Senate,Washington,Maria Cantwell,Raul Garcia,R+2.8,2.8
2024,Senate,West Virginia,Glenn Elliott,Jim Justice,R+2.2,2.2
2024,Senate,Wisconsin,Tammy Baldwin,Eric Hovde,R+0.5,0.5
2024,Senate,Wyoming,Scott Morrow,John Barrasso,R+6.4,6.4
2022,House,AK-AL,Mary Peltola,Sarah Palin,D+22.1,-22.1
2022,House,AL-02,Phyllis Harvey-Hall,Barry Moore,R+1.1,1.1
2022,House,AL-03,Lin Veasey,Mike Rogers,R+3.1,3.1
2022,House,AL-04,Rick Neighbors,Robert Aderholt,R+0.7,0.7
2022,House,AL-05,Kathy Warner-Stanton,Dale Strong,R+3.7,3.7
2022,House,AL-07,Terri Sewell,Beatrice Nichols,D+3.1,-3.1
2022,House,AR-01,Monte Hodges,Rick Crawford,D+2.5,-2.5
2022,House,AR-02,Quintessa Hathaway,French Hill,R+3.1,3.1
2022,House,AR-03,Lauren Mallett-Hays,Steve Womack,D+1.9,-1.9
2022,House,AR-04,John White,Bruce Westerman,R+1.3,1.3
2022,House,AZ-01,Jevin Hodge,David Schweikert,D+2.3,-2.3
2022,House,AZ-02,Tom O'Halleran,Eli Crane,D+1.8,-1.8
2022,House,AZ-03,Ruben Gallego,Jeff Zink,D+5.1,-5.1
2022,House,AZ-04,Greg Stanton,Kelly Cooper,D+3.9,-3.9
2022,House,AZ-05,Javier Ramos,Andy Biggs,D+2.3,-2.3
2022,House,AZ-06,Kirsten Engel,Juan Ciscomani,D+1.6,-1.6
2022,House,AZ-07,Raul Grijalva,Luis Pozzolo,R+2.3,2.3
2022,House,CA-01,Max Steiner,Doug LaMalfa,D+3.7,-3.7
2022,House,CA-02,Jared Huffman,Douglas Brower,D+1,-1
2022,House,CA-03,Kermit Jones,Kevin Kiley,D+0.8,-0.8
2022,House,CA-04,Mike Thompson,Matt Brock,D+1.9,-1.9
2022,House,CA-05,Michael Barkley,Tom McClintock,R+0.2,0.2
2022,House,CA-06,Ami Bera,Tamika Hamilton,R+1.7,1.7
2022,House,CA-07,Doris Matsui,Max Semenenko,D+3.6,-3.6
2022,House,CA-08,John Garamendi,Rudy Recile,D+1.8,-1.8
2022,House,CA-09,Josh Harder,Tom Patti,D+3.5,-3.5
2022,House,CA-11,Nancy Pelosi,John Dennis,R+2.9,2.9
2022,House,CA-12,Barbara Lee,Stephen Slauson,D+3.4,-3.4
2022,House,CA-13,Adam Gray,John Duarte,R+2.6,2.6
2022,House,CA-14,Eric Swalwell,Alison Hayden,R+2.3,2.3
2022,House,CA-17,Ro Khanna,Ritesh Tandon,R+1.2,1.2
2022,House,CA-18,Zoe Lofgren,Peter Hernandez,R+7.6,7.6
2022,House,CA-19,Jimmy Panetta,Jeff Gorman,D+0.7,-0.7
2022,House,CA-20,Marisa Wood,Kevin McCarthy,D+0.7,-0.7
2022,House,CA-21,Jim Costa,Michael Maher,R+6.2,6.2
2022,House,CA-22,Rudy Salas,David Valadao,R+4.9,4.9
2022,House,CA-23,Derek Marshall,Jay Obernolte,R+1.7,1.7
2022,House,CA-24,Salud Carbajal,Brad Allen,R+4.5,4.5
2022,House,CA-25,Raul Ruiz,Brian Hawkins,D+5.9,-5.9
2022,House,CA-26,Julia Brownley,Matt Jacobs,R+5.3,5.3
2022,House,CA-27,Christy Smith,Mike Garcia,R+8.7,8.7
2022,House,CA-28,Judy Chu,Wes Hallman,D+3.5,-3.5
2022,House,CA-31,Grace Napolitano,Daniel Martinez,R+5.3,5.3
2022,House,CA-32,Brad Sherman,Lucie Volotzky,R+0.1,0.1
2022,House,CA-33,Pete Aguilar,John Porter,R+4.6,4.6
2022,House,CA-35,Norma Torres,Mike Cargile,R+8,8
2022,House,CA-36,Ted Lieu,Joe Collins,R+1,1
2022,House,CA-38,Linda Sanchez,Eric Ching,R+8.5,8.5
2022,House,CA-39,Mark Takano,Aja Smith,R+5.5,5.5
2022,House,CA-40,Asif Mahmood,Young Kim,R+5.7,5.7
2022,House,CA-41,Will Rollins,Ken Calvert,D+6.3,-6.3
2022,House,CA-42,Robert Garcia,John Briscoe,R+1.3,1.3
2022,House,CA-43,Maxine Waters,Omar Navarro,R+3.1,3.1
2022,House,CA-44,Nanette Barragan,Paul Jones,D+0.9,-0.9
2022,House,CA-45,Jay Chen,Michelle Steel,R+0.9,0.9
2022,House,CA-46,Lou Correa,Christopher Gonzales,R+1.9,1.9
2022,House,CA-47,Katie Porter,Scott Baugh,R+2.4,2.4
2022,House,CA-48,Stephen Houlahan,Darrell Issa,D+2.7,-2.7
2022,House,CA-49,Mike Levin,Brian Maryott,R+1.2,1.2
2022,House,CA-50,Scott Peters,Corey Gustafson,R+4.3,4.3
2022,House,CA-51,Sara Jacobs,Stan Caplan,D+0.4,-0.4
2022,House,CA-52,Juan Vargas,Tyler Geffeney,D+1.3,-1.3
2022,House,CO-01,Diana DeGette,Jennier Qualteri,R+0.9,0.9
2022,House,CO-02,Joe Neguse,Marshall Dawson,R+1.5,1.5
2022,House,CO-03,Adam Frisch,Lauren Boebert,D+10.4,-10.4
2022,House,CO-04,Ike McCorkle,Ken Buck,R+2.8,2.8
2022,House,CO-05,David Torres,Doug Lamborn,R+1.5,1.5
2022,House,CO-06,Jason Crow,Steven Monahan,R+2.5,2.5
2022,House,CO-07,Brittany Pettersen,Erik Aadland,D+0.9,-0.9
2022,House,CO-08,Yadira Caraveo,Barbara Kirkmeyer,R+2.6,2.6
2022,House,CT-01,John Larson,Larry Lazor,R+2,2
2022,House,CT-02,Joe Courtney,Mike France,D+9.2,-9.2
2022,House,CT-03,Rosa DeLauro,Lesley DeNardis,R+1.1,1.1
2022,House,CT-04,Jim Himes,Jayme Stevenson,R+10,10
2022,House,CT-05,Jahana Hayes,George Logan,R+6.6,6.6
2022,House,DE-AL,Lisa Blunt Rochester,Lee Murphy,R+3.6,3.6
2022,House,FL-01,Rebekah Jones,Matt Gaetz,D+9.9,-9.9
2022,House,FL-02,Al Lawson,Neal Dunn,D+2.4,-2.4
2022,House,FL-03,Danielle Hawk,Kat Cammack,D+1.4,-1.4
2022,House,FL-04,LaShonda Holloway,Aaron Bean,R+0.9,0.9
2022,House,FL-07,Karen Green,Cory Mills,D+0.8,-0.8
2022,House,FL-08,Joanne Terry,Bill Posey,D+1.5,-1.5
2022,House,FL-09,Darren Soto,Scotty Moore,R+0,0
2022,House,FL-10,Maxwell Frost,Calvin Wimbish,R+0.8,0.8
2022,House,FL-11,Shante Munns,Daniel Webster,R+2.7,2.7
2022,House,FL-12,Kimberly Walker,Gus Bilirakis,D+1.1,-1.1
2022,House,FL-13,Eric Lynn,Anna Paulina Luna,D+8.4,-8.4
2022,House,FL-14,Kathy Castor,James Judge,D+2.8,-2.8
2022,House,FL-15,Alan Cohn,Laurel Lee,R+2.3,2.3
2022,House,FL-16,Jan Schneider,Vern Buchanan,R+1,1
2022,House,FL-17,Andrea Kale,Greg Steube,D+0.4,-0.4
2022,House,FL-19,Cindy Banyai,Byron Donalds,R+1.4,1.4
2022,House,FL-20,Sheila Cherfilus-McCormick,Drew-Montez Clark,D+2,-2
2022,House,FL-21,Corinna Balderramos Robinson,Brian Mast,R+3.8,3.8
2022,House,FL-22,Lois Frankel,Daniel Franzese,D+1.7,-1.7
2022,House,FL-23,Jared Moskowitz,Joe Budd,D+1.4,-1.4
2022,House,FL-24,Frederica Wilson,Jesus Navarro,D+5,-5
2022,House,FL-25,Debbie Wasserman Schultz,Carla Spalding,D+0.4,-0.4
2022,House,FL-26,Christine Olivo,Mario Diaz-Balart,R+8.3,8.3
2022,House,FL-27,Annette Taddeo,Maria Elvira Salazar,D+0.1,-0.1
2022,House,FL-28,Robert Asencio,Carlos Gimenez,R+5.7,5.7
2022,House,GA-01,Wade Herring,Buddy Carter,D+1.8,-1.8
2022,House,GA-02,Sanford Bishop,Chris West,D+3.5,-3.5
2022,House,GA-03,Val Amonord,Drew Ferguson,D+0.6,-0.6
2022,House,GA-04,Hank Johnson,Jonathan Chavez,D+2.8,-2.8
2022,House,GA-05,Nikema Williams,Christian Zimm,D+0.5,-0.5
2022,House,GA-06,Bob Christian,Rich McCormick,R+4.2,4.2
2022,House,GA-07,Lucy McBath,Mark Gonsalves,D+0.6,-0.6
2022,House,GA-08,Darrius Butler,Austin Scott,R+1.5,1.5
2022,House,GA-09,Mike Ford,Andrew Clyde,D+1.4,-1.4
2022,House,GA-10,Tabitha Johnson-Green,Mike Collins,D+0.4,-0.4
2022,House,GA-11,Antonio Daza,Barry Loudermilk,R+1.4,1.4
2022,House,GA-12,Liz Johnson,Rick Allen,R+0.6,0.6
2022,House,GA-13,David Scott,Caesar Gonzales,D+7.5,-7.5
2022,House,GA-14,Marcus Flowers,Marjorie Taylor Greene,D+12.1,-12.1
2022,House,HI-01,Ed Case,Conrad Kress,D+18,-18
2022,House,HI-02,Jill Tokuda,Joe Akana,R+0.3,0.3
2022,House,IA-01,Christina Bohannan,Mariannette Miller-Meeks,D+1.6,-1.6
2022,House,IA-02,Liz Mathis,Ashley Hinson,D+1.5,-1.5
2022,House,IA-03,Cindy Axne,Zach Nunn,D+1.9,-1.9
2022,House,IA-04,Ryan Melton,Randy Feenstra,R+4.4,4.4
2022,House,ID-01,Kaylee Peterson,Russ Fulcher,R+1.9,1.9
2022,House,ID-02,Wendy Norman,Mike Simpson,D+2.9,-2.9
2022,House,IL-01,Jonathan Jackson,Eric Carlson,R+5.1,5.1
2022,House,IL-02,Robin Kelly,Thomas Lynch,R+3.9,3.9
2022,House,IL-03,Delia Ramirez,Justin Burau,R+1.7,1.7
2022,House,IL-04,Chuy Garcia,James Falakos,R+2.5,2.5
2022,House,IL-05,Mike Quigley,Tommy Hanson,D+0.7,-0.7
2022,House,IL-06,Sean Casten,Keith Pekau,R+1.1,1.1
2022,House,IL-08,Raja Krishnamoorthi,Chris Dargis,R+1,1
2022,House,IL-09,Jan Schakowsky,Max Rice,D+1.8,-1.8
2022,House,IL-10,Brad Schneider,Joseph Severino,D+0.6,-0.6
2022,House,IL-11,Bill Foster,Cataline Lauf,R+0.6,0.6
2022,House,IL-12,Chip Markel,Mike Bost,R+1.3,1.3
2022,House,IL-13,Nikki Budzinski,Regan Deering,D+5.5,-5.5
2022,House,IL-14,Lauren Underwood,Scott Gryder,R+1.1,1.1
2022,House,IL-15,Paul Lange,Mary Miller,D+0.9,-0.9
2022,House,IL-16,Elizabeth Haderlein,Darin LaHood,R+5.2,5.2
2022,House,IL-17,Eric Sorensen,Esther Joy King,R+0.8,0.8
2022,House,IN-01,Frank Mrvan,Jennfier-Ruth Green,R+0.9,0.9
2022,House,IN-02,Paul Steury,Rudy Yakym,R+5.5,5.5
2022,House,IN-03,Gary Snyder,Jim Banks,D+0.1,-0.1
2022,House,IN-04,Roger Day,Jim Baird,R+1.4,1.4
2022,House,IN-05,Jeannine Lee Lake,Victoria Spartz,D+1,-1
2022,House,IN-06,Cinde Wirth,Greg Pence,D+4.1,-4.1
2022,House,IN-07,Andre Carson,Angela Grabovsky,R+2.1,2.1
2022,House,IN-08,Ray McCormick,Larry Bucshon,D+3.9,-3.9
2022,House,IN-09,Matthew Fyfe,Erin Houchin,D+0.8,-0.8
2022,House,KS-01,Jimmy Beard,Tracey Mann,R+3.2,3.2
2022,House,KS-02,Patrick Schmidt,Jake LaTurner,D+3.4,-3.4
2022,House,KS-03,Sharice Davids,Amanda Adkins,D+6.4,-6.4
2022,House,KS-04,Bob Hernandez,Ron Estes,R+0.8,0.8
2022,House,KY-01,Jimmy Ausbrooks,James Comer,R+0.7,0.7
2022,House,KY-02,Hank Linderman,Brett Guthrie,R+0.5,0.5
2022,House,KY-03,Morgan McGarvey,Stuart Ray,D+5.8,-5.8
2022,House,KY-04,Matt Lehman,Thomas Massie,D+3.7,-3.7
2022,House,KY-05,Conor Halbleib,Hal Rogers,D+0.7,-0.7
2022,House,KY-06,Geoff Young,Andy Barr,R+12.3,12.3
2022,House,LA-01,Katie Darling,Steve Scalise,D+3.8,-3.8
2022,House,LA-02,Troy Carter,Dan Lux,D+10.2,-10.2
2022,House,LA-03,Various Dems,Clay Higgins,R+9,9
2022,House,LA-05,Various Dems,Julia Letlow,R+8.8,8.8
2022,House,MA-01,Richard Neal,Dean Martilli,R+0.7,0.7
2022,House,MA-02,Jim McGovern,Jeffrey Sossa-Paquette,R+0.5,0.5
2022,House,MA-03,Lori Trahan,Dean Tran,R+1.3,1.3
2022,House,MA-05,Katherine Clark,Caroline Colarusso,R+4.8,4.8
2022,House,MA-06,Seth Moulton,Bob May,R+1.8,1.8
2022,House,MA-07,Ayanna Pressley,Donnie Palmer,R+3.6,3.6
2022,House,MA-08,Stephen Lynch,Robert Burke,D+2.6,-2.6
2022,House,MA-09,Bill Keating,Jesse Brown,R+2.2,2.2
2022,House,MD-01,Heather Mizeur,Andy Harris,D+7.5,-7.5
2022,House,MD-02,Dutch Ruppersberger,Nicolee Ambrose,R+2.3,2.3
2022,House,MD-03,John Sarbanes,Yuripzy Morgan,R+4.9,4.9
2022,House,MD-04,Glenn Ivey,Jeff Warner,D+3.1,-3.1
2022,House,MD-05,Steny Hoyer,Chris Palombi,R+3.3,3.3
2022,House,MD-06,David Trone,Neil Parrott,D+0.9,-0.9
2022,House,MD-07,Kweisi Mfume,Scott Collier,D+3.1,-3.1
2022,House,MD-08,Jamie Raskin,Gregory Coll,D+0.3,-0.3
2022,House,ME-01,Chellie Pingree,Ed Thelander,R+2.2,2.2
2022,House,ME-02,Jared Golden,Bruce Poliquin,D+8.3,-8.3
2022,House,MI-01,Bob Lorinser,Jack Bergman,R+1.9,1.9
2022,House,MI-02,Jerry Hilliard,John Moolenaar,D+0.9,-0.9
2022,House,MI-03,Hillary Scholten,John Gibbs,D+5.7,-5.7
2022,House,MI-04,Joseph Alfonso,Bill Huizenga,R+4.7,4.7
2022,House,MI-05,Bart Goldberg,Tim Walberg,R+1.2,1.2
2022,House,MI-06,Debbie Dingell,Whittney Williams,D+2.4,-2.4
2022,House,MI-07,Elissa Slotkin,Tom Barrett,D+2.7,-2.7
2022,House,MI-08,Dan Kildee,Paul Junge,D+6.7,-6.7
2022,House,MI-09,Brian Jaye,Lisa McClain,R+0.4,0.4
2022,House,MI-10,Carl Marlinga,John James,D+0.9,-0.9
2022,House,MI-11,Haley Stevens,Mark Ambrose,D+1.6,-1.6
2022,House,MI-12,Rashida Tlaib,Steve Elliott,R+4.1,4.1
2022,House,MI-13,Shri Thanedar,Martell Bivings,D+1.9,-1.9
2022,House,MN-01,Jeff Ettinger,Brad Finstad,D+1.5,-1.5
2022,House,MN-02,Angie Craig,Tyler Kistner,R+0.9,0.9
2022,House,MN-03,Dean Phillips,Tom Weiler,R+0.7,0.7
2022,House,MN-04,Betty McCollum,May Lor Xiong,R+2.6,2.6
2022,House,MN-05,Ilhan Omar,Cicely Davis,R+12.3,12.3
2022,House,MN-06,Jeanne Hendricks,Tom Emmer,R+0.7,0.7
2022,House,MN-07,Jill Abahsain,Michelle Fischbach,R+3.1,3.1
2022,House,MN-08,Jennifer Schultz,Pete Stauber,D+0.4,-0.4
2022,House,MO-01,Cori Bush,Andrew Jones,R+6.6,6.6
2022,House,MO-02,Trish Gunby,Ann Wagner,D+1.1,-1.1
2022,House,MO-03,Bethany Mann,Blaine Luetkemeyer,D+2.5,-2.5
2022,House,MO-04,Jack Truman,Mark Alford,R+3,3
2022,House,MO-05,Emanuel Cleaver,Jacob Turk,R+0.1,0.1
2022,House,MO-06,Henry Martin,Sam Graves,R+0.5,0.5
2022,House,MO-07,Kristen Radaker-Sheafer,Eric Burlison,R+0,0
2022,House,MO-08,Randi McCallian,Jason Smith,D+2.2,-2.2
2022,House,MS-01,Dianne Black,Trent Kelly,R+1.6,1.6
2022,House,MS-02,Bennie Thompson,Brian Flowers,D+2,-2
2022,House,MS-03,Shuwaski Young,Michael Guest,R+4.2,4.2
2022,House,MS-04,Johnny DuPree,Mike Ezell,R+0.9,0.9
2022,House,MT-01,Monica Tranel,Ryan Zinke,D+7,-7
2022,House,NC-01,Don Davis,Sandy Smith,D+1.1,-1.1
2022,House,NC-02,Deborah Ross,Christine Villaverde,D+0.9,-0.9
2022,House,NC-03,Barbara Gaskins,Greg Murphy,R+2.1,2.1
2022,House,NC-04,Valerie Foushee,Courtney Geels,D+0.7,-0.7
2022,House,NC-05,Kyle Parrish,Virginia Foxx,D+0.6,-0.6
2022,House,NC-06,Kathy Manning,Christian Castelli,R+1.7,1.7
2022,House,NC-07,Charles Graham,David Rouzer,D+3.5,-3.5
2022,House,NC-08,Scott Huffman,Dan Bishop,D+0.5,-0.5
2022,House,NC-09,Ben Clark,Richard Hudson,D+1.6,-1.6
2022,House,NC-10,Pam Genant,Patrick McHenry,R+0.2,0.2
2022,House,NC-11,Jasmine Beach-Ferrera,Chuck Edwards,D+2.8,-2.8
2022,House,NC-12,Alma Adams,Tyler Lee,R+3.1,3.1
2022,House,NC-13,Wiley Nickel,Bo Hines,D+5,-5
2022,House,NC-14,Jeff Jackson,Pat Harrigan,D+2.8,-2.8
2022,House,ND-AL,Cara Mund (I),Kelly Armstrong,D+15.6,-15.6
2022,House,NE-01,Patty Pansing Brooks,Mike Flood,D+0.8,-0.8
2022,House,NE-02,Tony Vargas,Don Bacon,R+3,3
2022,House,NE-03,David Else,Adrian Smith,R+7.7,7.7
2022,House,NH-01,Chris Pappas,Karoline Leavitt,R+0.3,0.3
2022,House,NH-02,Annie Kuster,Robert Burns,R+1.1,1.1
2022,House,NJ-01,Donald Norcross,Claire Gustafson,D+5.9,-5.9
2022,House,NJ-02,Tim Alexander,Jeff Van Drew,R+5,5
2022,House,NJ-03,Andy Kim,Bob Healey Jr.,D+2,-2
2022,House,NJ-04,Matthew Jenkins,Chris Smith,R+5.1,5.1
2022,House,NJ-05,Josh Gottheimer,Frank Pallotta,D+2.7,-2.7
2022,House,NJ-06,Frank Pallone,Sue Kiley,D+1,-1
2022,House,NJ-07,Tom Malinowski,Tom Kean,R+2.2,2.2
2022,House,NJ-08,Rob Menendez Jr.,Marcos Arroyo,D+11.3,-11.3
2022,House,NJ-09,Bill Pascrell,Billy Prempeh,R+3.8,3.8
2022,House,NJ-10,Donald Payne Jr.,David Pinckney,D+1.6,-1.6
2022,House,NJ-11,Mikie Sherrill,Paul DeGroot,D+6.6,-6.6
2022,House,NJ-12,Bonnie Watson Coleman,Darius Mayfield,R+2.7,2.7
2022,House,NM-01,Melanie Stansbury,Michelle Garcia Holmes,R+3.4,3.4
2022,House,NM-02,Gabe Vasquez,Yvette Herrell,D+0.2,-0.2
2022,House,NM-03,Teresa Leger Fernandez,Alexis Martinez Johnson,D+5.4,-5.4
2022,House,NV-01,Dina Titus,Mark Robertson,D+2.1,-2.1
2022,House,NV-02,Elizabeth Krause,Mark Amodei,R+2.3,2.3
2022,House,NV-03,Susie Lee,April Becker,D+2.1,-2.1
2022,House,NV-04,Steven Horsford,Sam Peters,D+1.5,-1.5
2022,House,NY-01,Bridget Fleming,Nick LaLota,R+0.1,0.1
2022,House,NY-02,Jackie Gordon,Andrew Garbarino,R+6.1,6.1
2022,House,NY-03,Robert Zimmerman,George Santos,R+3.9,3.9
2022,House,NY-04,Laura Gillen,Anthony D'Esposito,R+6.1,6.1
2022,House,NY-05,Gregory Meeks,Paul King,R+1.4,1.4
2022,House,NY-06,Grace Meng,Thomas Zmich,D+7.1,-7.1
2022,House,NY-07,Nydia Velazquez,Juan Pagan,D+6.9,-6.9
2022,House,NY-08,Hakeem Jeffries,Yuri Dashevsky,R+0.3,0.3
2022,House,NY-10,Dan Goldman,Benine Hamdan,D+7.6,-7.6
2022,House,NY-11,Max Rose,Nicole Malliotakis,R+2.1,2.1
2022,House,NY-12,Jerrold Nadler,Michael Zumbluskas,R+0.7,0.7
2022,House,NY-14,Alexandria Ocasio-Cortez,Tina Forte,R+1.4,1.4
2022,House,NY-15,Ritchie Torres,Stylo Sapaskis,D+5.9,-5.9
2022,House,NY-16,Jamaal Bowman,Miriam Flisser,R+5.9,5.9
2022,House,NY-17,Sean Patrick Maloney,Mike Lawler,R+1.7,1.7
2022,House,NY-18,Pat Ryan,Colin Schmitt,D+2.7,-2.7
2022,House,NY-19,Josh Riley,Marc Molinaro,D+4,-4
2022,House,NY-20,Paul Tonko,Liz Joy,R+0.4,0.4
2022,House,NY-21,Matt Castelli,Elise Stefanik,D+5.7,-5.7
2022,House,NY-22,Francis Conole,Brandon Williams,D+1.9,-1.9
2022,House,NY-23,Max Della Pia,Nick Langworthy,R+1.2,1.2
2022,House,NY-24,Steve Holden,Claudia Tenney,R+1,1
2022,House,NY-25,Joe Morelle,La'Ron Singletary,R+3.3,3.3
2022,House,NY-26,Brian Higgins,Steven Sams,D+12.4,-12.4
2022,House,OH-01,Greg Landsman,Steve Chabot,D+1.4,-1.4
2022,House,OH-02,Samantha Meadows,Brad Wenstrup,D+0.4,-0.4
2022,House,OH-03,Joyce Beatty,Lee Stahley,R+3.2,3.2
2022,House,OH-04,Tamie Wilson,Jim Jordan,D+2.1,-2.1
2022,House,OH-05,Craig Swartz,Bob Latta,R+2.7,2.7
2022,House,OH-06,Louis Lyras,Bill Johnson,R+2.9,2.9
2022,House,OH-07,Matthew Diemer,Max Miller,D+0.8,-0.8
2022,House,OH-08,Vanessa Enoch,Warren Davidson,R+1.8,1.8
2022,House,OH-09,Marcy Kaptur,JR Majewski,D+15.6,-15.6
2022,House,OH-10,David Esrati,Mike Turner,R+14.5,14.5
2022,House,OH-11,Shontel Brown,Eric Brewer,R+2.2,2.2
2022,House,OH-12,Amy Rippel-Elton,Troy Balderson,R+3.5,3.5
2022,House,OH-13,Emilia Sykes,Madison Gesiotto,D+4,-4
2022,House,OH-14,Matt Kilboy,David Joyce,R+4.7,4.7
2022,House,OH-15,Gary Josephson,Mike Carey,R+1.8,1.8
2022,House,OK-01,Adam Martin,Kevin Hern,R+0.2,0.2
2022,House,OK-02,Naomi Andrews,Josh Brecheen,D+4.2,-4.2
2022,House,OK-03,Jeremiah Ross,Frank Lucas,R+0.4,0.4
2022,House,OK-04,Mary Brannon,Tom Cole,D+3.1,-3.1
2022,House,OK-05,Joshua Harris-Till,Stephanie Bice,D+1.7,-1.7
2022,House,OR-01,Suzanne Bonamici,Christopher Mann,R+1.5,1.5
2022,House,OR-02,Joe Yetter,Cliff Bentz,R+1.6,1.6
2022,House,OR-03,Earl Blumenauer,Joanna Harbour,R+0.5,0.5
2022,House,OR-04,Val Hoyle,Alek Skarlatos,R+0,0
2022,House,OR-05,Jamie McLeod-Skinner,Lori Chavez-DeRemer,R+5.8,5.8
2022,House,OR-06,Andrea Salinas,Mike Erickson,R+4.9,4.9
2022,House,PA-01,Ashley Ehasz,Brian Fitzpatrick,R+11.9,11.9
2022,House,PA-02,Brendan Boyle,Aaron Bashir,D+7.7,-7.7
2022,House,PA-04,Madeleine Dean,Christian Nascimento,D+1.2,-1.2
2022,House,PA-05,Mary Gay Scanlon,David Galluch,R+2.2,2.2
2022,House,PA-06,Chrissy Houlahan,Guy Ciarrocchi,D+1.2,-1.2
2022,House,PA-07,Susan Wild,Lisa Scheller,D+0.8,-0.8
2022,House,PA-08,Matt Cartwright,Jim Bognet,D+4.5,-4.5
2022,House,PA-09,Amanda Waldman,Dan Meuser,D+1.6,-1.6
2022,House,PA-10,Shamaine Daniels,Scott Perry,D+1.1,-1.1
2022,House,PA-11,Bob Hollister,Lloyd Smucker,D+2.2,-2.2
2022,House,PA-12,Summer Lee,Mike Doyle,R+6.8,6.8
2022,House,PA-15,Mike Molesevich,Glenn Thompson,D+0.3,-0.3
2022,House,PA-16,Dan Pastore,Mike Kelly,D+4,-4
