district_id,incumbent_2025,incumbent_party,pvi_string,pvi_numeric,is_open_seat,retirement_reason,war,generic_ballot,predicted_margin,predicted_winner,d_win_pct,r_win_pct,race_rating,potential_flip,sim_avg_margin,sim_margin_std
MI-04,Bill Huizenga,R,R+3,-3.0,False,,2.0,6.6,-3.13,R,28.4,71.6,Tilt R,False,-3.1,5.39
TX-28,Henry Cuellar,D,R+2,-2.0,False,,-8.3,6.6,3.19,D,72.6,27.4,Tilt D,False,3.3,5.42
FL-04,Aaron Bean,R,R+5,-5.0,False,,-1.8,6.6,-3.24,R,25.6,74.4,Tilt R,False,-3.47,5.21
TX-15,Monica De La Cruz,R,R+7,-7.0,False,,-5.6,6.6,-3.36,R,26.7,73.3,Tilt R,False,-3.36,5.41
CT-05,Jahana Hayes,D,D+3,3.0,False,,1.1,6.6,3.53,D,77.2,22.8,Lean D,False,3.76,5.24
CO-04,Lauren Boebert,R,R+9,-9.0,False,,-9.2,6.6,-3.57,R,25.8,74.2,Tilt R,False,-3.52,5.36
CA-49,Mike Levin,D,D+5,5.0,False,,4.9,6.6,3.64,D,75.9,24.1,Lean D,False,3.82,5.27
OR-06,Andrea Salinas,D,D+6,6.0,False,,6.9,6.6,3.65,D,74.6,25.4,Tilt D,False,3.63,5.33
VA-07,Eugene Vindman,D,D+2,2.0,False,,-1.2,6.6,3.68,D,76.7,23.3,Lean D,False,3.58,5.38
IL-06,Sean Casten,D,D+3,3.0,False,,0.4,6.6,3.89,D,77.9,22.1,Lean D,False,3.79,5.55
NH-02,Maggie Goodlander,D,D+2,2.0,False,,-1.7,6.6,3.93,D,77.5,22.5,Lean D,False,4.01,5.36
OR-04,Val Hoyle,D,D+6,6.0,False,,6.3,6.6,3.96,D,77.8,22.2,Lean D,False,4.14,5.28
AZ-08,Abe Hamadeh,R,R+8,-8.0,False,,-6.4,6.6,-3.98,R,24.1,75.9,Lean R,False,-3.76,5.39
NE-02,Don Bacon,R,D+3,3.0,True,Retiring,0.0,6.6,4.09,D,79.6,20.4,Lean D,True,4.03,5.25
MN-02,Angie Craig,D,D+3,3.0,True,Running for Senate,0.0,6.6,4.09,D,77.6,22.4,Lean D,False,4.3,5.39
TX-35,Greg Casar,D,R+3,-3.0,False,,3.9,6.6,-4.1,R,21.5,78.5,Lean R,True,-4.09,5.32
NY-19,Josh Riley,D,D+1,1.0,False,,-4.1,6.6,4.13,D,77.1,22.9,Lean D,False,4.09,5.32
TX-09,Al Green,D,R+5,-5.0,False,,0.0,6.6,-4.16,R,23.9,76.1,Lean R,True,-3.97,5.36
AZ-04,Greg Stanton,D,D+4,4.0,False,,1.7,6.6,4.25,D,79.0,21.0,Lean D,False,4.39,5.22
NJ-09,Nellie Pou,D,D+2,2.0,False,,-2.4,6.6,4.29,D,77.3,22.7,Lean D,False,4.14,5.35
NV-01,Dina Titus,D,D+2,2.0,False,,-2.4,6.6,4.29,D,78.4,21.6,Lean D,False,3.99,5.06
NY-04,Laura Gillen,D,D+2,2.0,False,,-2.5,6.6,4.34,D,77.3,22.7,Lean D,False,4.17,5.26
MI-08,Kristen McDonald Rivet,D,R+1,-1.0,False,,-8.6,6.6,4.38,D,80.8,19.2,Lean D,False,4.43,5.13
IN-01,Frank J. Mrvan,D,D+1,1.0,False,,-4.6,6.6,4.39,D,76.7,23.3,Lean D,False,4.15,5.58
WA-08,Kim Schrier,D,D+3,3.0,False,,-0.7,6.6,4.45,D,79.0,21.0,Lean D,False,4.44,5.35
MD-06,April McClain Delaney,D,D+3,3.0,False,,-0.8,6.6,4.5,D,80.1,19.9,Lean D,False,4.5,5.43
OH-15,Mike Carey,R,R+6,-6.0,False,,-1.3,6.6,-4.53,R,20.1,79.9,Lean R,False,-4.46,5.41
VA-10,Suhas Subramanyam,D,D+6,6.0,False,,5.1,6.6,4.57,D,80.1,19.9,Lean D,False,4.67,5.44
OR-05,Janelle Bynum,D,D+4,4.0,False,,0.9,6.6,4.66,D,78.4,21.6,Lean D,False,4.5,5.36
IL-17,Eric Sorensen,D,D+3,3.0,False,,-1.1,6.6,4.66,D,80.7,19.3,Lean D,False,4.65,5.3
CA-06,Ami Bera,D,D+4,4.0,False,,0.9,6.6,4.66,D,82.0,18.0,Lean D,False,4.82,5.38
NV-04,Steven Horsford,D,D+2,2.0,False,,-3.2,6.6,4.7,D,80.7,19.3,Lean D,False,4.84,5.48
IL-14,Lauren Underwood,D,D+3,3.0,False,,-1.3,6.6,4.76,D,82.5,17.5,Lean D,False,4.85,5.4
NJ-02,Jeff Van Drew,R,R+5,-5.0,False,,1.6,6.6,-4.99,R,17.1,82.9,Lean R,False,-4.74,5.23
PA-17,Chris Deluzio,D,D+3,3.0,False,,-1.8,6.6,5.02,D,82.1,17.9,Lean D,False,5.14,5.44
CA-03,Kevin Kiley,R,D+5,5.0,False,,2.1,6.6,5.08,D,81.7,18.3,Lean D,True,4.77,5.31
SC-01,Nancy Mace,R,R+6,-6.0,True,Running for Governor,0.0,6.6,-5.2,R,18.2,81.8,Lean R,False,-5.25,5.46
NC-03,Greg Murphy,R,R+6,-6.0,False,,0.0,6.6,-5.2,R,16.8,83.2,Lean R,False,-4.98,5.22
TN-05,Andy Ogles,R,R+8,-8.0,False,,-3.9,6.6,-5.26,R,16.9,83.1,Lean R,False,-5.31,5.43
MI-03,Hillary Scholten,D,D+4,4.0,False,,-0.4,6.6,5.33,D,85.7,14.3,Lean D,False,5.56,5.23
FL-22,Lois Frankel,D,D+4,4.0,False,,-0.5,6.6,5.38,D,83.6,16.4,Lean D,False,5.3,5.39
FL-25,Debbie Wasserman Schultz,D,D+5,5.0,False,,1.3,6.6,5.49,D,82.7,17.3,Lean D,False,5.46,5.57
CO-05,Jeff Crank,R,R+5,-5.0,False,,2.6,6.6,-5.5,R,13.7,86.3,Lean R,False,-5.47,5.22
AR-02,French Hill,R,R+8,-8.0,False,,-3.3,6.6,-5.57,R,15.6,84.4,Lean R,False,-5.43,5.31
IL-11,Bill Foster,D,D+6,6.0,False,,3.1,6.6,5.6,D,84.5,15.5,Lean D,False,5.59,5.46
NJ-05,Josh Gottheimer,D,D+2,2.0,False,,-5.1,6.6,5.68,D,87.4,12.6,Lean D,False,6.05,5.42
FL-16,Vern Buchanan,R,R+7,-7.0,False,,-1.0,6.6,-5.72,R,15.9,84.1,Lean R,False,-5.66,5.43
MN-01,Brad Finstad,R,R+6,-6.0,False,,1.1,6.6,-5.76,R,12.8,87.2,Lean R,False,-6.03,5.4
MN-08,Pete Stauber,R,R+7,-7.0,False,,-0.9,6.6,-5.77,R,15.3,84.7,Lean R,False,-5.42,5.28
WI-08,Tony Wied,R,R+8,-8.0,False,,-2.8,6.6,-5.82,R,12.9,87.1,Lean R,False,-5.99,5.22
NC-07,David Rouzer,R,R+8,-8.0,False,,-2.6,6.6,-5.93,R,12.6,87.4,Lean R,False,-5.99,5.16
NC-09,Richard Hudson,R,R+8,-8.0,False,,-2.3,6.6,-6.08,R,10.9,89.1,Lean R,False,-6.3,5.19
VA-05,John McGuire,R,R+6,-6.0,False,,1.8,6.6,-6.12,R,13.8,86.2,Lean R,False,-5.9,5.22
IL-08,Raja Krishnamoorthi,D,D+5,5.0,True,Running for Senate,0.0,6.6,6.16,D,86.2,13.8,Lean D,False,5.98,5.5
NJ-11,Mikie Sherrill,D,D+5,5.0,True,Resigned - Now Governor,0.0,6.6,6.16,D,87.5,12.5,Lean D,False,6.13,5.23
NC-05,Virginia Foxx,R,R+9,-9.0,False,,-4.1,6.6,-6.19,R,11.7,88.3,Lean R,False,-6.22,5.09
TX-24,Beth Van Duyne,R,R+7,-7.0,False,,0.0,6.6,-6.23,R,11.8,88.2,Lean R,False,-6.28,5.47
KY-06,Andy Barr,R,R+7,-7.0,True,Running for Senate,0.0,6.6,-6.23,R,10.9,89.1,Lean R,False,-6.38,5.21
NV-02,Mark Amodei,R,R+7,-7.0,False,,0.0,6.6,-6.23,R,11.7,88.3,Lean R,False,-6.11,5.41
NE-01,Mike Flood,R,R+6,-6.0,False,,2.2,6.6,-6.32,R,12.2,87.8,Lean R,False,-6.22,5.31
NM-03,Teresa Leger Fernandez,D,D+3,3.0,False,,-4.5,6.6,6.4,D,89.4,10.6,Lean D,False,6.73,5.35
PA-06,Chrissy Houlahan,D,D+6,6.0,False,,1.5,6.6,6.42,D,89.1,10.9,Lean D,False,6.4,5.3
MA-09,Bill Keating,D,D+6,6.0,False,,1.4,6.6,6.47,D,88.3,11.7,Lean D,False,6.36,5.27
